sample_id,CD8_T_cells,T_helper_cells,Tregs,B_cells,Macrophages,NK_cells,Dendritic_cells,Neutrophils,Monocytes,Immune_Checkpoint,molecular_subtype
GSE213504_GSM6588264,-0.37623681654053737,0.00570713048487539,-0.06039932692297867,-0.18597489174781612,0.21206085669462882,0.004830545145270598,-0.1957862326663712,-0.17175329795055927,0.036105744935161284,-0.0951691468609303,C3
GSE213504_GSM6588265,-0.2272624202321346,0.03213805806725779,-0.10610102361919635,-0.2711370657995931,0.1506145658088123,-0.02220785647598467,-0.20384617225841162,-0.1267049615642541,-0.01837214280091461,-0.09017039895459993,C3
GSE213504_GSM6588266,-0.36087890056879335,0.12286641228640777,-0.1694366070136712,-0.18819587007495375,0.10118783331734305,0.034912061555397333,-0.12779289099347466,-0.3250549662378968,-0.03925841590906917,-0.11286748828307602,C3
GSE213504_GSM6588267,-0.3129690915694458,0.1314897064039581,-0.18221980584850628,-0.18319214689675234,0.10776346930073216,0.030659628758927512,-0.08150316802788023,-0.32571987338754654,0.03303642272245027,-0.08775744392838235,C3
GSE213504_GSM6588268,-0.27948691133302983,0.12572787660380672,-0.15167647567800346,-0.16547563392178855,0.09922730667174826,0.015705472854450574,-0.08099318969011915,-0.32492531023898574,-0.05488180717144039,-0.06759667239685554,C3
GSE213504_GSM6588269,-0.18988503123748784,-0.17261748729268658,-0.051818833447625584,-0.28998214361583013,-0.2750633145919215,-0.04486321243867828,-0.1567108104187702,-0.24269550279957258,-0.4322254263741674,-0.1403164940029832,C3
GSE213504_GSM6588270,-0.16235148368081675,-0.3033450207090881,-0.06032537254178245,-0.3109677972962005,-0.20474296944934403,-0.05206171614077593,-0.21747408758085113,-0.3200354157298581,-0.4200401755348524,-0.17173596435934055,C3
GSE213504_GSM6588271,-0.2023694474127929,-0.3157145670590965,-0.059423550836743694,-0.2616902694082087,-0.1910433722704298,-0.04700743693108545,-0.2219958564461781,-0.3234333246835038,-0.22032833343925176,-0.15905748788906793,C3
GSE213504_GSM6588272,-0.30596357132799534,-0.13735300134110662,-0.06242168337359594,-0.2766015457442815,-0.14324330197336857,-0.10267506232322751,-0.4188266671455769,-0.3134125397622997,-0.2498683645151218,-0.11572156818895442,C3
GSE213504_GSM6588273,-0.33764312290657883,-0.18284094142975565,-0.04993304281197594,-0.35076692395612696,-0.12290951861726371,-0.1098236644822678,-0.41404763671205663,-0.30905842078898066,-0.14344416534224064,-0.1825351638678576,C3
GSE213504_GSM6588274,-0.2614922973515942,-0.15044913212284777,-0.06340590840357094,-0.244918521427088,-0.11153191469710808,-0.11481057928566114,-0.2802513338641849,-0.315048887331697,-0.18237206611631598,-0.16522103864925616,C3
GSE213504_GSM6588275,0.08574761261751321,0.35640722312928463,0.20683733087813885,0.4285520488281173,0.394229989075094,0.20032690722255234,0.22742799668979313,-0.04199878780732019,0.3850606352625733,0.11828888724666983,C3
GSE213504_GSM6588276,-0.022390504760585697,0.19499048227258942,0.08658681469440008,-0.13699848640634785,0.3686199856639495,0.21605496868611243,0.007039620290380688,-0.05236857016715281,0.27371919121767857,0.03568470178894476,C3
GSE213504_GSM6588277,-0.06260115262603781,0.030144239047142894,0.03121353254903587,-0.21900872455227618,0.1573004572545035,0.12188528271356026,-0.14025497524374936,-0.13826523303674346,0.05819884887349415,0.004742045357138659,C3
GSE213504_GSM6588278,0.03898204094214328,0.03358103815898253,0.08343161629358072,-0.2405411093705888,0.12401574735257678,0.08614317031197917,-0.1557219306578363,-0.15469951074986688,0.031487074017014886,0.030864623185013765,C3
GSE213504_GSM6588279,-0.09247572311710828,0.1526832441794111,0.009744628521568911,-0.20185246089120912,0.32189571202769873,0.13894150772879638,0.009375801238502205,0.013248990973774761,0.25300085236147346,-0.030085384795039256,C3
GSE213504_GSM6588280,-0.024815600891211455,0.0940145649022938,0.08244572025734938,-0.0799270647568802,0.30858511591721133,0.13822193572500338,0.0032281353715783306,-0.048722837510944195,0.28190344756336166,0.03690190361635642,C3
GSE213504_GSM6588281,-0.017918045182397115,0.08077125870136266,0.10271233454016167,-0.15873008076860085,0.25502989431092565,0.044081706584105436,-0.08967522318296875,0.007999015185781258,0.1723057632733394,0.05556067077001933,C3
GSE213504_GSM6588282,-0.046502638659314456,0.04243742245302379,0.01887183231548917,-0.10406098442551621,0.16322647765319911,0.09524892435134157,0.052089083577697814,-0.22000112220392892,0.10640602580542197,-0.00231588972096729,C3
GSE213504_GSM6588283,-0.16984598515116459,-0.22617418376207157,-0.0732989123534083,-0.2922878845467063,-0.23508666804213613,-0.025846751781165606,-0.20612129110544694,-0.25534040692530663,-0.23672160593086483,-0.15544187514923888,C3
