ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002695,negative regulation of leukocyte activation,35/1943,196/18986,0.17857142857142858,1.7449084626130433,3.53945367695912,7.626798001746211e-4,0.02604985377362897,0.023901947472223236,2852/8764/7940/7805/8379/3965/7305/374403/5777/2615/972/2268/3659/2213/10288/10859/3718/8832/135/3133/3566/11326/10077/11314/2302/3635/11006/7128/5788/3123/1493/3559/54900/6693/1840,35
GO:0045766,positive regulation of angiogenesis,34/1943,189/18986,0.17989417989417988,1.757833710484251,3.5353240720747103,7.867472951200499e-4,0.026711943877171216,0.024509445810381506,27161/25865/358/1003/6376/339123/947/94/2185/10800/7075/3687/7052/284361/2022/126393/4846/10411/728/3791/2321/3373/8742/6423/2041/1512/187/64094/958/6237/9037/10266/2246/5054,34
GO:0006959,humoral immune response,50/1943,310/18986,0.16129032258064516,1.5760463533279099,3.452749133811509,7.935895297016176e-4,0.026784820576438023,0.024576313557623432,3493/3500/3494/3502/3507/60343/3503/713/3501/8398/714/712/6352/28912/6376/5777/4069/6366/10417/4283/710/10578/2213/6556/6348/27433/3133/5450/11326/5919/2302/2/1236/5699/5788/6351/6362/28984/6039/3123/1755/10406/374383/240/6590/6363/6387/6480/3119/1191,50
GO:0031295,T cell costimulation,13/1943,48/18986,0.2708333333333333,2.646444501629782,3.8562869056867934,8.078246760860973e-4,0.027104893837618233,0.024869995600619664,100133941/207/8764/916/5777/6366/10288/11006/1236/6693/8740/6363/3932,13
GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,23/1943,112/18986,0.20535714285714285,2.006644732005,3.60762958799276,8.619667103677561e-4,0.028752386642910417,0.02638164656170196,2214/83786/3965/7305/10417/2213/10865/64581/6348/2212/3133/914/4776/6833/101/5788/54440/4282/1535/6693/6363/4939/1191,23
GO:0110053,regulation of actin filament organization,45/1943,273/18986,0.16483516483516483,1.6106847347197322,3.4315897176214536,8.941162120272487e-4,0.02942617173452107,0.0269998755931274,2039/10178/116985/23580/114822/9026/2006/653440/5296/10458/50848/22899/6376/10435/10174/11346/374666/2185/57175/6366/3059/822/85358/51466/90952/5829/11151/55160/10411/1236/2934/28984/57580/389/25802/2041/6710/5341/5345/9037/6387/91663/7984/1901/11135,45
GO:0072224,metanephric glomerulus development,7/1943,17/18986,0.4117647058823529,4.023553631437134,4.211032545531241,8.951974164892902e-4,0.02942617173452107,0.0269998755931274,358/947/5159/5155/9370/6943/1958,7
GO:0046632,alpha-beta T cell differentiation,26/1943,133/18986,0.19548872180451127,1.9102155801237524,3.5567106126778354,8.976426861512388e-4,0.02942617173452107,0.0269998755931274,4297/1514/79798/7704/3965/26022/6778/3659/3122/3561/3718/2355/3702/3566/6097/3726/11006/114836/4063/64218/7535/54440/3123/6693/3662/6363,26
GO:0001562,response to protozoan,10/1943,32/18986,0.3125,3.0535898095728253,3.9256080056288583,9.585560991685093e-4,0.03124345136946958,0.028667313834982423,115361/6556/64581/4818/3566/10077/6693/3662/3394/958,10
GO:0006956,complement activation,16/1943,67/18986,0.23880597014925373,2.3334895261213235,3.6918717056079293,9.647764029334612e-4,0.03125217856083245,0.028675321437303267,3493/3500/3494/3502/3507/3503/713/3501/714/712/710/11326/2/28984/374383/1191,16
GO:0032956,regulation of actin cytoskeleton organization,55/1943,352/18986,0.15625,1.5267949047864127,3.3684377898262756,9.697818382306002e-4,0.03125217856083245,0.028675321437303267,440335/2039/10178/8558/116985/23580/114822/11170/9026/2006/653440/5296/10458/50848/22899/6376/10435/10174/11346/374666/2185/57175/1436/6366/5881/5159/3059/27237/822/85358/51466/90952/5829/11151/55160/10411/1236/8153/4739/2934/28984/684/57580/389/25802/2041/6710/5341/5345/9037/6387/91663/7984/1901/11135,55
GO:0031294,lymphocyte costimulation,13/1943,49/18986,0.2653061224489796,2.5924354301679498,3.7685385405271865,9.979267039183027e-4,0.03179985429692737,0.029177839293630117,100133941/207/8764/916/5777/6366/10288/11006/1236/6693/8740/6363/3932,13
GO:0050856,regulation of T cell receptor signaling pathway,13/1943,49/18986,0.2653061224489796,2.5924354301679498,3.7685385405271865,9.979267039183027e-4,0.03179985429692737,0.029177839293630117,8525/8517/25865/7805/9840/5777/7070/11314/11006/1236/5788/634/3932,13
GO:0045055,regulated exocytosis,39/1943,229/18986,0.1703056768558952,1.6641397739506054,3.4140055360208246,0.0010197671575497298,0.03210491139460258,0.02945774331105854,26258/54586/2214/3134/51150/8938/112476/9545/3965/6688/3689/2242/6855/64780/2268/6861/192683/2213/6348/6813/84446/5730/11151/8832/4818/3566/11314/25837/5880/201294/2901/84258/634/5341/8673/90139/261729/10814/2922,39
GO:0000244,spliceosomal tri-snRNP complex assembly,9/1943,27/18986,0.3333333333333333,3.257162463544347,3.9628320540844815,0.0010210503026111474,0.03210491139460258,0.02945774331105854,25980/101954271/101954275/26835/26834/26832/10078/26831/26827,9
GO:0002357,defense response to tumor cell,6/1943,13/18986,0.46153846153846156,4.50991725721525,4.274341628351385,0.0010356423030516962,0.03210491139460258,0.02945774331105854,7805/51225/6688/5551/9940/1612,6
GO:0043383,negative T cell selection,6/1943,13/18986,0.46153846153846156,4.50991725721525,4.274341628351385,0.0010356423030516962,0.03210491139460258,0.02945774331105854,916/972/1236/5788/7535/6693,6
GO:2001198,regulation of dendritic cell differentiation,6/1943,13/18986,0.46153846153846156,4.50991725721525,4.274341628351385,0.0010356423030516962,0.03210491139460258,0.02945774331105854,3965/2213/10288/28959/10859/55365,6
GO:0002791,regulation of peptide secretion,36/1943,207/18986,0.17391304347826086,1.6993891114144422,3.416146503666783,0.0010626928452761527,0.03241497320564265,0.029742239384818642,84300/80024/25874/2852/338557/79751/5715/8398/65985/8938/6352/90007/415116/3767/51092/972/2550/2645/55107/10411/10312/6833/8111/3630/3651/116/3123/846/111/2696/240/640/7849/114131/3170/2922,36
GO:0022408,negative regulation of cell-cell adhesion,36/1943,207/18986,0.17391304347826086,1.6993891114144422,3.416146503666783,0.0010626928452761527,0.03241497320564265,0.029742239384818642,207/8764/4855/7805/8379/3965/6688/5777/6366/2615/972/3659/10288/4155/10859/3718/135/3133/3566/11326/10077/11314/2302/11006/114897/9370/28984/3123/1493/3559/54900/6693/634/6387/1840/91663,36
GO:0090087,regulation of peptide transport,36/1943,207/18986,0.17391304347826086,1.6993891114144422,3.416146503666783,0.0010626928452761527,0.03241497320564265,0.029742239384818642,84300/80024/25874/2852/338557/79751/5715/8398/65985/8938/6352/90007/415116/3767/51092/972/2550/2645/55107/10411/10312/6833/8111/3630/3651/116/3123/846/111/2696/240/640/7849/114131/3170/2922,36
GO:0034341,response to type II interferon,24/1943,121/18986,0.19834710743801653,1.9381462592991159,3.4954533516935062,0.0011248220936936036,0.03412758097036338,0.03131363633731577,7297/23580/6352/3965/10435/972/115361/3659/6556/6348/3113/199/10581/84166/8519/10410/2934/684/7791/83666/3394/958/115362/1612,24
GO:0042113,B cell activation,46/1943,284/18986,0.1619718309859155,1.5827057041166195,3.340666270314394,0.0011489850230236064,0.03467624640913572,0.031817062291692406,56941/9473/51237/3507/5296/10014/7805/83416/6688/7305/2185/8227/374403/5777/972/6778/115352/2213/3561/3718/3575/2355/6482/5450/11314/2302/10312/3635/56833/23308/8741/7128/5788/939/7535/150372/54440/643/1493/684/4282/54900/3394/958/1503/4323,46
GO:0002279,mast cell activation involved in immune response,14/1943,56/18986,0.25,2.4428718476582603,3.651027846968602,0.001221941857232542,0.03668398080870747,0.03365925160199556,3965/2242/5777/2268/6813/5730/8832/3566/11314/5880/201294/8673/10814/2922,14
GO:0032760,positive regulation of tumor necrosis factor production,22/1943,108/18986,0.2037037037037037,1.99048817216599,3.485393843371703,0.001234656836638125,0.0368716366292349,0.03383143450958809,2214/83786/3965/7305/10417/2213/10865/64581/6348/2212/3133/914/4776/6833/5788/54440/4282/1535/6693/6363/4939/1191,22
GO:0005996,monosaccharide metabolic process,43/1943,262/18986,0.16412213740458015,1.6037173961725986,3.3224136221107723,0.0012532057413650818,0.037230653899720974,0.03416084948501747,282969/283450/4123/221927/207/226/90673/51547/5224/340990/2548/200186/9746/90007/2542/3767/2026/23324/5372/4485/3481/2645/6097/2875/9563/3486/114897/9370/1609/3630/3487/3651/2784/477/6515/7033/79660/3643/390637/4837/3479/150094/5166,43
GO:0001894,tissue homeostasis,44/1943,270/18986,0.16296296296296298,1.592390537732792,3.3101841571153856,0.0012820719801665851,0.037695559664279385,0.03458742205853641,1620/4297/12/9696/1003/50848/9545/947/5025/2185/1436/7122/5881/3587/4155/90952/11151/2355/261734/81501/4846/338773/10312/6833/3635/54/101/5880/1281/7128/51599/645811/54440/9079/1365/7033/4588/368/1435/1901/4583/5166/10083/4585,44
GO:0060249,anatomical structure homeostasis,44/1943,270/18986,0.16296296296296298,1.592390537732792,3.3101841571153856,0.0012820719801665851,0.037695559664279385,0.03458742205853641,1620/4297/12/9696/1003/50848/9545/947/5025/2185/1436/7122/5881/3587/4155/90952/11151/2355/261734/81501/4846/338773/10312/6833/3635/54/101/5880/1281/7128/51599/645811/54440/9079/1365/7033/4588/368/1435/1901/4583/5166/10083/4585,44
