Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
RPS17P5,1.095980155932863,1.9372323143626597,3.286733178065641,0.0011313360060185985,0.0022924542438266756,-3.3762230673517104
CDKN2D,0.6198989513178006,4.47265242706733,3.2866033423796766,0.0011318397360508584,0.0022933173373550072,-3.3766364888697398
CLN3,-0.5933745156992245,4.044794453433418,-3.2845008265055173,0.0011400260332950546,0.002309745549279878,-3.3833291805187793
UCKL1,0.3209576794278721,6.453891359578372,3.283832428264674,0.0011426399896525333,0.002314882458421271,-3.3854559779535283
CLDN1,-1.0432523054869929,3.7473654516029176,-3.2831471007308703,0.0011453259323643344,0.0023201644892484673,-3.387636224376889
ATP8B1,-0.8888135150001379,6.111153405696956,-3.282750850411189,0.0011468815951454635,0.0023231562667640105,-3.388896630076645
DALRD3,0.3734440737829723,5.831185614284764,3.282442415307868,0.0011480938570854894,0.002325452078374257,-3.3898776121889913
FCN2,-0.5240247924883716,0.7342052128194612,-3.282284601229646,0.0011487145838791775,0.0023265495086110216,-3.3903795088243163
ARL17B,0.5668869498829663,5.55247722206066,3.2803201601525274,0.001156467412849964,0.0023420908015545643,-3.396625144769488
S100A7A,0.741391734698341,0.8340802977513351,3.280208092018743,0.0011569111609231778,0.0023428285434246602,-3.3969813429475213
ITM2C,0.5755304530189944,6.39202876692237,3.27970405374751,0.0011589089204980057,0.0023467129531699773,-3.3985832416462474
MYBBP1A,-0.30155771180834323,6.734783921756612,-3.279420112919367,0.0011600357324569417,0.002348833339873839,-3.399485541214794
RFXANK,0.48155476142074516,5.185008160242708,3.2788578571345686,0.0011622700331341228,0.002353195717795967,-3.4012720477398393
CCDC108,0.7485090195067159,3.6974351519671766,3.2787148155148214,0.001162839091477925,0.002354186187052651,-3.4017265013461557
NUTF2,-0.3653314896711901,7.082826679510519,-3.2785128665020626,0.0011636429399335345,0.002355651823949772,-3.402368076549533
C6orf141,-0.7686025332174948,3.6735437909242314,-3.277286751220963,0.0011685345219019359,0.0023653918044624395,-3.406262551915911
CTAG1A,-0.6881007150797407,0.7664265353188817,-3.2749101743321725,0.0011780702859112823,0.002384530731132888,-3.413807338677527
ACIN1,-0.3656904438437225,8.817296546765764,-3.274377909824266,0.001180215821116993,0.00238870950311342,-3.4154963898832333
PARP3,-0.5694771436823891,4.194699242531341,-3.273783826370695,0.0011826148302727666,0.0023934006872569115,-3.4173813107455846
ZBTB4,0.39971554198993253,7.025196678014007,3.2718916242508107,0.001190286071898104,0.0024087605495351455,-3.4233828052116255
HLA-DQB1,1.0832357078796366,2.892635645326561,3.2714222240037842,0.0011921962223437953,0.002412460486712707,-3.4248711003801082
SRMS,-0.5750745510773606,1.0950442748158546,-3.270370416384129,0.001196486725670974,0.002420976332155524,-3.4282052716982108
NR2F6,-0.626853239734952,5.620941038909113,-3.2672252156038124,0.0012094022099246673,0.0024469416341218256,-3.4381694170875177
ARSI,-0.6592353145177156,1.4443760487278148,-3.2662591088218096,0.0012133953471772667,0.0024548523353097036,-3.441228294151781
AC093382.1,0.965966286456382,2.313560591194467,3.265692863653389,0.0012157414510336323,0.00245943002250206,-3.4430207414280387
GRAP2,0.7802273148014613,2.5959162860160063,3.2644999790173186,0.0012206976727685412,0.002469286955598282,-3.4467958654265543
CHIT1,0.6501585002439257,1.5127019958292864,3.2636859145260977,0.00122409072345407,0.0024759806942126544,-3.449371398152471
SOX3,-0.7249175927749152,0.7481386220349935,-3.262405075071975,0.0012294470346517364,0.002486644348831493,-3.453422497919459
TFCP2L1,0.939191565792385,5.0649599795195,3.262201797662184,0.0012302991128130736,0.0024881970326433574,-3.4540652969619563
EGR2,-0.7650627774015069,3.401124158364645,-3.261896578222984,0.0012315795307925874,0.002490615732425317,-3.4550303845232015
GRM4,0.9025040823850836,4.024570103529341,3.2618120787428446,0.0012319342308417197,0.0024911621551165883,-3.4552975524767806
SLITRK6,-1.1250521987469377,4.6988053203074704,-3.261629528039435,0.001232700840211818,0.0024925413902801515,-3.455874713843249
NGEF,-0.6657936087297667,2.5418943168789636,-3.2605532268904645,0.0012372297015445736,0.002501527249930428,-3.4592769883965886
MFSD2B,-0.7252061074060412,2.913044240648703,-3.2599987634831935,0.0012395687948311327,0.002506084737375986,-3.461029283020266
HINFP,0.25480914536663324,6.079627454683679,3.2593133539164874,0.001242465977512275,0.0025117698335760394,-3.4631950281781885
KANK3,0.5476818363987355,2.7300684051600803,3.258332176547983,0.0012466242889790976,0.002520003473902412,-3.466294595833844
PHF23,-0.3249650759080067,6.0527112800436935,-3.2561652349387904,0.0012558537632778588,0.0025384864446482383,-3.473136941994965
CNN1,0.78315149148023,2.5052978241411195,3.2551256220264775,0.0012603041685736946,0.0025473074999123194,-3.4764181215031718
MRP63,-0.5413243976444577,5.724687274487251,-3.2538096851518152,0.0012659584526032762,0.0025585604401999855,-3.4805700202247136
TBX6,-0.49948806420810943,2.5263964163253054,-3.251923274016664,0.0012741049948979376,0.0025748484613782627,-3.486519083724626
HPSE2,-0.5601785471690168,1.1269194814874903,-3.2514538845685137,0.0012761396143161912,0.002578783464915733,-3.4879988692926425
CCDC152,0.7666758531004719,3.79199703551047,3.249402137588368,0.0012850685643479756,0.0025966488242318486,-3.4944648158108382
SPATA2,-0.4155852093689565,5.370274620878584,-3.2478888004957263,0.0012916915176291552,0.0026098524865482233,-3.4992315576317266
FRMD4A,-0.75776872518334,6.481392415664943,-3.247397337469023,0.001293849152500169,0.002614032816944729,-3.5007791326308864
RWDD3,-0.4982088973812733,4.321230647397476,-3.2470458613424262,0.0012953942625751414,0.002616975142532566,-3.501885766794257
C2CD2,-0.8693158625578157,5.291285561903163,-3.245652359376674,0.0013015370387885682,0.0026292047033387544,-3.506272153213975
USH1C,1.0311420049703641,4.558739250807139,3.245452988705509,0.0013024181018966075,0.002630804252279129,-3.506899577178233
NHSL1,-0.7623577275468767,6.214670470396016,-3.24537489357893,0.001302763372285672,0.0026313213879387435,-3.507145334482547
SNTG2,0.7573622819197714,2.4808451883241744,3.245284706279668,0.0013031622096229781,0.002631946639850313,-3.5074291377376605
IFNGR2,-0.42011300067527335,6.362192535337247,-3.244183723276158,0.0013080402495505318,0.002641617659747858,-3.510893140219679
PSTPIP1,0.8519021534305236,2.880517583995673,3.2440113847861927,0.0013088053473154016,0.002642981741503209,-3.511435266304894
SLC39A5,-0.5841673955213309,2.167406363951641,-3.2438994721971577,0.0013093024061615428,0.002643804399729345,-3.511787295920424
CREB3L1,-0.8316306153774686,4.6664950508767395,-3.243404223234115,0.0013115041525835515,0.002648068894069974,-3.5133450033400093
C9orf116,-0.7618746794461477,2.910255072150896,-3.2423758270684107,0.0013160871026309151,0.002657140383006575,-3.5165789103227967
GPR150,-0.5143237875896045,1.56668945352913,-3.2422202519910934,0.0013167817000386394,0.0026583606997766986,-3.5170680502082474
PYCARD,0.8065938771319612,2.4051494925440204,3.2421949989386207,0.0013168944796255223,0.0026584063375677913,-3.5171474456603704
DPY19L2P2,-0.6131836338178527,6.313867909809971,-3.242005128363891,0.001317742724404168,0.0026599365462621895,-3.5177443791682634
